home_team,away_team
Arsenal,Leicester City
Watford,Liverpool
Chelsea,Burnley
Crystal Palace,Huddersfield Town
Everton,Stoke City
Southampton,Swansea City
West Bromwich Albion,AFC Bournemouth
Brighton and Hove Albion,Manchester City
Newcastle United,Tottenham Hotspur
Manchester United,West Ham United
Swansea City,Manchester United
AFC Bournemouth,Watford
Burnley,West Bromwich Albion
Leicester City,Brighton and Hove Albion
Liverpool,Crystal Palace
Southampton,West Ham United
Stoke City,Arsenal
Huddersfield Town,Newcastle United
Tottenham Hotspur,Chelsea
Manchester City,Everton
AFC Bournemouth,Manchester City
Crystal Palace,Swansea City
Huddersfield Town,Southampton
Newcastle United,West Ham United
Watford,Brighton and Hove Albion
Manchester United,Leicester City
Chelsea,Everton
West Bromwich Albion,Stoke City
Liverpool,Arsenal
Tottenham Hotspur,Burnley
Manchester City,Liverpool
Arsenal,AFC Bournemouth
Brighton and Hove Albion,West Bromwich Albion
Everton,Tottenham Hotspur
Leicester City,Chelsea
Southampton,Watford
Stoke City,Manchester United
Burnley,Crystal Palace
Swansea City,Newcastle United
West Ham United,Huddersfield Town
AFC Bournemouth,Brighton and Hove Albion
Crystal Palace,Southampton
Huddersfield Town,Leicester City
Liverpool,Burnley
Newcastle United,Stoke City
Watford,Manchester City
West Bromwich Albion,West Ham United
Tottenham Hotspur,Swansea City
Chelsea,Arsenal
Manchester United,Everton
West Ham United,Tottenham Hotspur
Burnley,Huddersfield Town
Everton,AFC Bournemouth
Manchester City,Crystal Palace
Southampton,Manchester United
Stoke City,Chelsea
Swansea City,Watford
Leicester City,Liverpool
Brighton and Hove Albion,Newcastle United
Arsenal,West Bromwich Albion
Huddersfield Town,Tottenham Hotspur
AFC Bournemouth,Leicester City
Manchester United,Crystal Palace
Stoke City,Southampton
West Bromwich Albion,Watford
West Ham United,Swansea City
Chelsea,Manchester City
Arsenal,Brighton and Hove Albion
Everton,Burnley
Newcastle United,Liverpool
Liverpool,Manchester United
Burnley,West Ham United
Crystal Palace,Chelsea
Manchester City,Stoke City
Swansea City,Huddersfield Town
Tottenham Hotspur,AFC Bournemouth
Watford,Arsenal
Brighton and Hove Albion,Everton
Southampton,Newcastle United
Leicester City,West Bromwich Albion
West Ham United,Brighton and Hove Albion
Chelsea,Watford
Huddersfield Town,Manchester United
Manchester City,Burnley
Newcastle United,Crystal Palace
Stoke City,AFC Bournemouth
Swansea City,Leicester City
Southampton,West Bromwich Albion
Everton,Arsenal
Tottenham Hotspur,Liverpool
Manchester United,Tottenham Hotspur
Arsenal,Swansea City
Crystal Palace,West Ham United
Liverpool,Huddersfield Town
Watford,Stoke City
West Bromwich Albion,Manchester City
AFC Bournemouth,Chelsea
Brighton and Hove Albion,Southampton
Leicester City,Everton
Burnley,Newcastle United
Stoke City,Leicester City
Huddersfield Town,West Bromwich Albion
Newcastle United,AFC Bournemouth
Southampton,Burnley
Swansea City,Brighton and Hove Albion
West Ham United,Liverpool
Tottenham Hotspur,Crystal Palace
Manchester City,Arsenal
Chelsea,Manchester United
Everton,Watford
Arsenal,Tottenham Hotspur
AFC Bournemouth,Huddersfield Town
Burnley,Swansea City
Crystal Palace,Everton
Leicester City,Manchester City
Liverpool,Southampton
West Bromwich Albion,Chelsea
Manchester United,Newcastle United
Watford,West Ham United
Brighton and Hove Albion,Stoke City
West Ham United,Leicester City
Crystal Palace,Stoke City
Manchester United,Brighton and Hove Albion
Newcastle United,Watford
Swansea City,AFC Bournemouth
Tottenham Hotspur,West Bromwich Albion
